"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"57",57,57,"LDN0T2","LDPE","N0","LDPE-N0","T2","15D","LD",51.058515978836,72.6319421326955,19.012635323089,1.57286193015854,6.14,106.551934750487,43.0142004236963,39.4296286829613,7.961729419123,0.093,2.613,-31.0269102621883,15,157.527864593306,"4",NA,17.2274,1.51676979695137
"58",58,58,"BSN0T2","PBS","N0","PBS-N0","T2","15D","BS",58.2413836006791,111.910393627859,10.7540756989687,0.412879271592688,6.26,120.265096681661,46.5664908718137,41.399319773573,8.8486858782216,0.109,2.321,-21.8868257332917,15,175.680273431696,"4",NA,11.1866666666667,2.07479141835518
"59",59,59,"HAN0T2","PLA/PHA","N0","PLA/PHA-N0","T2","15D","HA",54.3055585691066,169.694533869732,0.0013,0.760051411043566,7.07,68.2104863142839,31.0132266705101,139.135756272822,17.1341430545308,0.113,1.954,-20.5167743160299,15,116.357856039325,"4",NA,9.43873333333334,2.07019303437608
"60",60,60,"PLN0T2","PLA","N0","PLA-N0","T2","15D","PL",50.9018456394416,67.929724900421,17.7671325451743,0.283644439850209,6.1,109.838141766602,47.5691704334554,45.678270083552,9.18523344745967,0.111,2.143,-17.2161039149161,15,166.592545647517,"4",NA,10.0086,2.1411586036009
"61",61,61,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",61.1735356952381,66.1290874704405,89.7458623421604,2.54611773971581,5.82,65.904022830604,31.0097008767605,22.476604024156,15.0282905510165,0.119,1.135,-26.2175643343852,15,111.942014258381,"1",NA,0,NA
"62",62,62,"LDN1T2","LDPE","N1","LDPE-N1","T2","15D","LD",53.5491584476142,67.0518356426367,89.8654780382645,2.86461972833744,5.61,70.9091628563171,30.0992143811575,26.7283491239779,14.0280399816478,0.125,2.643,-31.142261710909,15,115.036417219122,"1",NA,17.2274,1.53418391631935
"63",63,63,"BSN1T2","PBS","N1","PBS-N1","T2","15D","BS",58.3220757855581,80.9865091319522,81.4502392432268,0.961557432522979,5.45,68.5251575165338,28.8858158145566,24.669265590703,16.460238504003,0.12,2.154,-21.4365503413556,15,113.871211835093,"1",NA,11.1866666666667,1.92550655542312
"64",64,64,"HAN1T2","PLA/PHA","N1","PLA/PHA-N1","T2","15D","HA",68.3836383197198,445.263233886198,34.4968817639766,0.372333400304772,6.41,110.298289126895,51.5691343685885,211.536560595443,27.7600175746805,0.117,1.861,-20.585580443337,15,189.627441070164,"1",NA,9.43873333333334,1.97166286436739
"65",65,65,"PLN1T2","PLA","N1","PLA-N1","T2","15D","PL",56.5161238409555,57.1849278854021,87.914613141112,2.03571439079042,5.71,65.0808163011458,28.6040469713746,25.3604116589817,13.8713372177444,0.122,2.224,-18.4202111427902,15,107.556200490265,"1",NA,10.0086,2.22208900345703
"66",66,66,"CON1T2","NONE","N1","NONE-N1","T2","15D","CO",61.1423552894212,58.6287068348273,89.8658182149933,2.38160676247198,5.72,63.056397739928,29.31745889021,25.8435303477183,15.4633052562678,0.117,1.112,-26.3764255400795,15,107.837161886406,"2",NA,0,NA
